time,x,y
0,-76.374718,-18.703145
0.153503,-76.102681,-18.621363
0.328705,-75.713866,-18.574262
0.415199,-75.524594,-18.517362
0.513603,-75.309292,-18.452637
0.6548,-75.000432,-18.359786
0.807503,-74.615171,-18.313752
0.984001,-74.280867,-18.275198
1.071999,-74.094832,-18.227111
1.169205,-73.882258,-18.163206
1.310204,-73.573772,-18.070468
1.461601,-73.208585,-18.007011
1.639099,-72.80297,-17.908531
1.7286,-72.607185,-17.849673
1.824898,-72.39668,-17.78639
1.9655,-72.053032,-17.732139
2.1157,-71.709358,-17.64955
2.294304,-71.318513,-17.532053
2.385101,-71.218256,-17.501913
2.480698,-71.020215,-17.442377
2.620804,-70.700579,-17.36415
2.769798,-70.336479,-17.306615
2.9496,-69.943315,-17.18842
3.041405,-69.742325,-17.127997
3.136497,-69.53435,-17.065475
3.2761,-69.27036,-16.929642
3.423904,-68.942082,-16.837685
3.604698,-68.520572,-16.760707
3.6978,-68.415836,-16.729221
3.792198,-68.209247,-16.667116
3.931503,-67.853492,-16.629953
4.078003,-67.532861,-16.533563
4.259102,-67.136824,-16.414504
4.354202,-66.928651,-16.351922
4.447899,-66.723801,-16.290339
4.5867,-66.373365,-16.248816
4.732803,-66.030162,-16.17781
4.913399,-65.583035,-16.086969
5.010704,-65.272964,-16.004542
5.1035,-65.026516,-15.989451
5.241699,-64.7005,-15.923879
5.3881,-64.352814,-15.856706
5.567802,-63.922613,-15.778014
5.667198,-63.691015,-15.727539
5.759201,-63.456891,-15.701847
5.896599,-63.138001,-15.631075
6.043404,-62.816753,-15.5345
6.221901,-62.375164,-15.471533
6.3237,-62.137872,-15.42009
6.4151,-61.923144,-15.405431
6.551498,-61.683367,-15.37267
6.6987,-61.337286,-15.301543
6.875801,-60.85916,-15.281403
6.980202,-60.620947,-15.223317
7.071404,-60.382468,-15.204774
7.206505,-60.017519,-15.189401
7.353905,-59.649862,-15.140743
7.529602,-59.196652,-15.098275
7.636803,-58.907109,-15.086078
7.7276,-58.662018,-15.075754
7.861603,-58.300409,-15.060522
8.009003,-57.844081,-14.956477
8.183205,-57.374019,-14.936676
8.293602,-57.126285,-14.870596
8.383904,-56.883425,-14.859462
8.516701,-56.576038,-14.789965
8.664299,-56.212961,-14.735601
8.8367,-55.787585,-14.673538
8.950401,-55.500003,-14.639989
9.040199,-55.265309,-14.621655
9.171799,-54.910054,-14.606691
9.319504,-54.562289,-14.535493
9.490204,-54.101595,-14.516087
9.607101,-53.837274,-14.448404
9.696404,-53.596618,-14.437568
9.826797,-53.29525,-14.369024
9.974899,-52.895436,-14.352183
10.143799,-52.439575,-14.332981
10.263603,-52.151,-14.282125
10.3526,-51.927068,-14.254843
10.482002,-51.577542,-14.24012
10.630203,-51.2288,-14.168881
10.797401,-50.777501,-14.149872
10.920204,-50.445741,-14.135897
11.008499,-50.207431,-14.125859
11.137398,-49.881186,-14.088267
11.2855,-49.464691,-14.089084
11.451103,-49.012767,-14.075536
11.576904,-48.714833,-14.016778
11.664398,-48.48804,-13.996885
11.792702,-48.191479,-13.929232
11.940498,-47.707587,-13.853548
12.104698,-47.343648,-13.750759
12.233704,-47.015039,-13.715138
12.320305,-46.812784,-13.671849
12.447998,-46.495139,-13.62863
12.595398,-46.172512,-13.531781
12.758301,-45.765042,-13.478932
12.890999,-45.579566,-13.423173
12.976303,-45.356149,-13.41257
13.103104,-45.06481,-13.34375
13.250099,-44.668037,-13.327037
13.412102,-44.239266,-13.299392
13.548203,-43.914565,-13.23875
13.632202,-43.706626,-13.209054
13.758301,-43.398445,-13.160461
13.904602,-43.008297,-13.138692
14.066002,-42.618932,-13.071077
14.205399,-42.23688,-13.046358
14.2883,-41.964788,-12.964561
14.413605,-41.622566,-12.944284
14.559105,-41.229757,-12.927739
14.720001,-40.917417,-12.928842
14.862602,-40.570864,-12.87171
14.944298,-40.375514,-12.835719
15.068504,-40.066176,-12.793903
15.2136,-39.735278,-12.713035
15.373802,-39.384766,-12.607663
15.519897,-39.014004,-12.56599
15.600304,-38.829816,-12.514184
15.723,-38.409127,-12.453936
15.868103,-38.054342,-12.398141
16.027504,-37.675133,-12.325619
16.176903,-37.403036,-12.291054
16.257103,-37.215848,-12.277999
16.377304,-36.933524,-12.219694
16.522598,-36.71086,-12.171904
16.681297,-36.326623,-12.107031
16.833801,-36.051157,-12.094006
16.914398,-35.865116,-12.051457
17.031601,-35.548582,-12.038124
17.177299,-35.107589,-11.94992
17.335098,-34.691555,-11.894637
17.490601,-34.302449,-11.844262
17.571602,-34.083778,-11.835051
17.685699,-33.775825,-11.82208
17.831802,-33.439448,-11.892735
17.989098,-33.014894,-11.874852
18.147499,-32.696708,-11.889724
18.228699,-32.494535,-11.86224
18.339699,-32.228922,-11.813472
18.486404,-31.879625,-11.74717
18.643501,-31.484769,-11.698253
18.804398,-31.071618,-11.643837
18.885803,-30.80441,-11.563508
18.995399,-30.554486,-11.488375
19.141205,-30.211819,-11.417489
19.297897,-29.841551,-11.343836
19.461304,-29.450088,-11.272306
19.5429,-29.254276,-11.237074
19.650803,-29.079053,-11.184398
19.796104,-28.809788,-11.103451
19.952202,-28.468309,-11.000794
20.118301,-28.104868,-10.891535
20.200005,-27.918388,-10.838851
20.306198,-27.533282,-10.78949
20.451004,-27.188045,-10.724633
20.606598,-26.780395,-10.710687
20.775299,-26.421898,-10.720637
20.857201,-26.268565,-10.731714
20.9617,-26.100839,-10.754181
21.105698,-25.708903,-10.806681
21.261002,-25.387668,-10.818447
21.432198,-24.925263,-10.798971
21.514503,-24.703279,-10.78962
21.617104,-24.426146,-10.777947
21.760399,-24.072734,-10.726181
21.915199,-23.573609,-10.645919
22.088104,-23.19539,-10.532218
22.1717,-22.973365,-10.518833
22.272598,-22.700739,-10.50735
22.4151,-22.377493,-10.425912
22.569199,-22.121396,-10.348924
22.743401,-21.744035,-10.269131
22.828903,-21.530601,-10.241104
22.928299,-21.313187,-10.175744
23.069901,-20.96506,-10.123222
23.223198,-20.551234,-10.105791
23.398804,-20.077179,-10.085824
23.485802,-19.842406,-10.075935
23.583801,-19.674671,-10.093914
23.724899,-19.323428,-10.107554
23.877205,-18.953203,-10.151581
24.054001,-18.489046,-10.205197
24.142502,-18.295105,-10.208685
24.239304,-18.08206,-10.21218
24.380302,-17.762672,-10.214534
24.531204,-17.37354,-10.17777
24.709099,-16.933137,-10.115161
24.799103,-16.734423,-10.058126
24.895103,-16.475238,-10.047209
25.0355,-16.044851,-10.08563
25.185303,-15.640474,-10.068598
25.364304,-15.208395,-9.99385
25.455498,-14.993265,-9.950712
25.550903,-14.756005,-9.918246
25.690804,-14.427135,-9.850307
25.8395,-14.079238,-9.776642
26.0196,-13.619784,-9.764181
26.111801,-13.453476,-9.77856
26.206703,-13.197278,-9.767769
26.346199,-12.820733,-9.751909
26.493599,-12.422819,-9.735149
26.6744,-12.044022,-9.747469
26.768204,-11.908061,-9.721098
26.862404,-11.697155,-9.704584
27.001503,-11.379678,-9.636449
27.147697,-11.087491,-9.650631
27.328804,-10.615726,-9.61174
27.424599,-10.408237,-9.590427
27.517998,-10.185421,-9.653822
27.6567,-9.74023,-9.713457
27.802803,-9.325886,-9.717807
27.9832,-8.884057,-9.649456
28.0811,-8.625797,-9.63177
28.173698,-8.415996,-9.578533
28.3116,-8.072671,-9.556565
28.458199,-7.768461,-9.567385
28.637505,-7.233097,-9.601385
28.737701,-6.962724,-9.589998
28.829399,-6.714998,-9.579564
28.966499,-6.344827,-9.563972
29.113503,-5.968083,-9.55328
29.291504,-5.626234,-9.507524
29.394104,-5.351077,-9.493842
29.485397,-5.150802,-9.434386
29.621498,-4.817211,-9.422244
29.7687,-4.500448,-9.42974
29.945404,-3.972144,-9.464038
30.050598,-3.748791,-9.470295
30.141701,-3.551557,-9.474598
30.276505,-3.187748,-9.459275
30.423904,-2.835921,-9.436351
30.599098,-2.477397,-9.401081
30.707397,-2.185138,-9.388771
30.798004,-1.940534,-9.378469
30.931602,-1.579884,-9.363279
31.079102,-1.181607,-9.346504
31.252602,-0.822469,-9.359652
31.364098,-0.486234,-9.384459
31.454201,-0.227095,-9.391126
31.5867,0.077294,-9.455886
31.734299,0.470893,-9.446552
31.906097,0.934793,-9.427013
32.020905,1.244593,-9.413965
32.110504,1.486563,-9.403773
32.241699,1.840733,-9.388856
32.389603,2.240006,-9.37204
32.5597,2.69918,-9.3527
32.677498,2.927209,-9.366368
32.7668,3.148903,-9.362033
32.896805,3.499814,-9.347254
33.044998,3.899848,-9.330405
33.213203,4.354162,-9.31127
33.334099,4.637891,-9.310321
33.422798,4.810619,-9.32032
33.552101,5.159603,-9.305622
33.700203,5.450122,-9.32166
33.866898,5.863323,-9.263714
33.9907,6.078656,-9.26565
34.078705,6.311369,-9.257112
34.207397,6.658805,-9.242478
34.355499,7.058621,-9.225639
34.520599,7.476423,-9.21522
34.6474,7.737144,-9.225336
34.734604,7.972678,-9.215416
34.862801,8.353261,-9.23761
35.010498,8.659126,-9.271329
35.174202,9.101167,-9.252711
35.304398,9.34327,-9.270789
35.390602,9.575872,-9.260992
35.517998,9.919859,-9.246504
35.665298,10.317584,-9.229753
35.827805,10.720677,-9.222002
35.9617,11.008273,-9.228938
36.046501,11.263586,-9.247194
36.173103,11.545186,-9.284915
36.319901,11.91733,-9.275475
36.481705,12.354184,-9.257076
36.618797,12.72424,-9.241491
36.702499,12.961947,-9.233549
36.8284,13.467482,-9.257215
36.974403,13.936521,-9.320045
37.135704,14.570598,-9.452516
37.276001,15.117066,-9.525717
37.358604,15.419058,-9.50592
37.483604,15.841845,-9.527738
37.628899,16.257246,-9.53585
37.789604,16.670184,-9.636026
