t,x,y
0,-99.871873,24.101594
0.171799,-99.404277,24.122267
0.286598,-99.091889,24.136078
0.376198,-98.84799,24.14686
0.507401,-98.490983,24.162644
0.655296,-98.088481,24.180439
0.825401,-97.625648,24.200901
0.943199,-97.304938,24.215079
1.032501,-97.06197,24.225821
1.162498,-96.708248,24.241459
1.310699,-96.304925,24.25929
1.478897,-95.847019,24.279534
1.5998,-95.517988,24.294081
1.688599,-95.276498,24.304757
1.817795,-94.924747,24.320309
1.965996,-94.521588,24.338132
2.132599,-94.068116,24.35818
2.2565,-93.730955,24.373086
2.344498,-93.491463,24.383675
2.473198,-93.141245,24.399158
2.6213,-92.738196,24.416977
2.786301,-92.289104,24.436831
2.913101,-91.943895,24.452093
3.000397,-91.706483,24.462589
3.128494,-91.357743,24.478007
3.276199,-90.955844,24.495775
3.439896,-90.510256,24.515475
3.570099,-90.155822,24.531144
3.656296,-89.921367,24.54151
3.783699,-89.574625,24.556839
3.931,-89.173684,24.574565
4.093498,-88.731408,24.594118
4.227402,-88.367092,24.610225
4.312195,-88.13625,24.620431
4.438896,-87.791562,24.635669
4.585602,-87.392126,24.653329
4.747498,-86.951739,24.672798
4.884598,-86.578609,24.689294
4.968201,-86.352523,24.699753
5.094101,-86.032837,24.720338
5.240097,-85.661841,24.744227
5.401398,-85.25221,24.770603
5.541801,-84.895499,24.793572
5.624298,-84.685816,24.807074
5.749298,-84.368276,24.827521
5.8946,-83.999222,24.851284
6.055298,-83.590971,24.877572
6.198997,-83.225776,24.901087
6.280296,-83.019338,24.91438
6.403999,-82.705044,24.934618
6.549095,-82.336501,24.958349
6.709,-81.930141,24.984515
6.856201,-81.556182,25.008594
6.936295,-81.352785,25.021691
7.058395,-81.042604,25.041664
7.203598,-80.67378,25.065413
7.362801,-80.269337,25.091456
7.513199,-79.887149,25.116065
7.593498,-79.683113,25.129203
7.7127,-79.380317,25.1487
7.8582,-79.010804,25.172494
8.016602,-78.60843,25.198403
8.170097,-78.218449,25.223514
8.250801,-78.013416,25.236717
8.367096,-77.718005,25.255738
8.512794,-77.347751,25.279579
8.670395,-76.947498,25.305352
8.826897,-76.549825,25.330959
8.907997,-76.343771,25.344227
9.020996,-76.056715,25.362711
9.167397,-75.684876,25.386654
9.3246,-75.285518,25.412369
9.483795,-74.881049,25.438413
9.565102,-74.674508,25.451712
9.675598,-74.393687,25.469795
9.821999,-74.0219,25.493734
9.978996,-73.620879,25.51593
10.140701,-73.192358,25.513868
10.222198,-72.976351,25.512829
10.3312,-72.687382,25.511439
10.476898,-72.301353,25.509581
10.633301,-71.88672,25.507587
10.797699,-71.451107,25.505491
10.879295,-71.234781,25.50445
10.986595,-70.950344,25.503082
11.131699,-70.565727,25.501231
11.287697,-70.15248,25.499243
11.454697,-69.709857,25.497114
11.5364,-69.49321,25.496071
11.641998,-69.213278,25.494725
11.786598,-68.830181,25.492882
11.942101,-68.418108,25.490899
12.111595,-67.96874,25.488737
12.193596,-67.751347,25.487691
12.297501,-67.476107,25.486367
12.441299,-67.095009,25.484534
12.596397,-66.683895,25.482556
12.768501,-66.227756,25.480361
12.850899,-66.009457,25.479311
12.952896,-65.738935,25.47801
13.096001,-65.359837,25.476186
13.250496,-64.950242,25.474215
13.423897,-64.490877,25.472005
13.508095,-64.2677,25.470931
13.608498,-64.001497,25.469651
13.750694,-63.624558,25.467837
13.904495,-63.216936,25.465876
14.079201,-62.753999,25.463649
14.165199,-62.526023,25.462552
14.264099,-62.263952,25.461291
14.405495,-61.889278,25.459489
14.558495,-61.483656,25.457537
14.734497,-61.0172,25.455293
14.821999,-60.785332,25.454178
14.919601,-60.526673,25.452933
15.060699,-60.146702,25.462867
15.212502,-59.73518,25.478486
15.389694,-59.255136,25.496706
15.478699,-59.013914,25.505862
15.575195,-58.752495,25.515784
15.715996,-58.37082,25.530271
15.8666,-57.962841,25.545756
16.044899,-57.479689,25.564094
16.135201,-57.234842,25.573387
16.230995,-56.975277,25.583239
16.3713,-56.595101,25.597669
16.520699,-56.190202,25.613037
16.700096,-55.704107,25.631487
16.791595,-55.456207,25.640896
16.886795,-55.198086,25.650693
17.026596,-54.8193,25.66507
17.174896,-54.417509,25.68032
17.355301,-53.928551,25.698878
17.447899,-53.677544,25.708405
17.542595,-53.420977,25.718143
17.681999,-53.043363,25.732476
17.828995,-52.645034,25.747594
18.009895,-52.15474,25.766204
18.104401,-51.898745,25.77592
18.198296,-51.64425,25.78558
18.337196,-51.267671,25.799873
18.4832,-50.872013,25.81489
18.664299,-50.38142,25.833511
18.760796,-50.119974,25.843434
18.853897,-49.867522,25.853016
18.992294,-49.49247,25.867251
19.138596,-49.096076,25.882296
19.318596,-48.60829,25.90081
19.417297,-48.340848,25.910961
19.509598,-48.090631,25.920458
19.647202,-47.717705,25.934613
19.7939,-47.320166,25.949701
19.9729,-46.83486,25.966884
20.073799,-46.558574,25.968251
20.165298,-46.308035,25.969491
20.3022,-45.933329,25.971345
20.449196,-45.530672,25.973338
20.626801,-45.044548,25.975744
20.730301,-44.761267,25.977145
20.821495,-44.511444,25.978382
20.957199,-44.14007,25.980219
21.104401,-43.736945,25.982214
21.280701,-43.254428,25.984602
21.386795,-42.963767,25.986041
21.477798,-42.714661,25.987273
21.612198,-42.346866,25.989093
21.759598,-41.94319,25.991091
21.934296,-41.464887,25.993458
22.043594,-41.165634,25.994939
22.133995,-40.918015,25.996164
22.267296,-40.553304,25.997969
22.414795,-40.14927,25.999968
22.587799,-39.675704,26.002312
22.700401,-39.367501,26.003837
22.790298,-39.121286,26.005055
22.922295,-38.75977,26.006844
23.07,-38.355433,26.008845
23.241295,-37.886493,26.011166
23.357101,-37.569478,26.012735
23.446594,-37.324447,26.013947
23.5774,-36.966401,26.015719
23.725395,-36.561211,26.017724
23.894897,-36.097144,26.020021
24.013695,-35.771868,26.02163
24.102798,-35.527884,26.022838
24.232498,-35.172729,26.024595
24.380699,-34.767043,26.026603
24.548401,-34.307823,26.028875
24.670296,-33.974203,26.030526
24.758797,-33.731816,26.031726
24.887901,-33.378506,26.033474
25.035995,-32.984638,26.034121
25.202095,-32.555031,26.03343
25.326996,-32.232201,26.032911
25.414696,-32.005276,26.032547
25.543198,-31.6729,26.032012
25.6912,-31.290218,26.031397
25.855797,-30.864616,26.030713
25.983597,-30.534061,26.030181
26.070595,-30.309087,26.02982
26.198502,-29.97822,26.029288
26.3461,-29.596682,26.028675
26.509399,-29.174254,26.027995
26.6408,-28.834465,26.027449
26.726501,-28.612742,26.027093
26.853699,-28.283904,26.026564
27.0009,-27.903354,26.025952
27.163101,-27.483683,26.025278
27.297997,-27.134816,26.024717
27.3825,-26.916475,26.024366
27.508896,-26.589587,26.02384
27.655396,-26.210547,26.023231
27.817101,-25.792593,26.022559
27.9552,-25.435272,26.021985
28.038498,-25.219818,26.021638
28.164101,-24.895063,26.021116
28.309898,-24.518103,26.02051
28.471001,-24.101502,26.019841
28.612396,-23.735649,26.019252
28.694595,-23.523265,26.018911
28.819298,-23.200643,26.018392
28.964294,-22.825608,26.01779
29.124901,-22.410515,26.017122
29.269699,-22.035949,26.01652
29.350601,-21.826789,26.016184
29.473801,-21.5082,26.015672
29.618896,-21.132957,26.015068
29.778595,-20.719945,26.014404
29.926796,-20.336534,26.013788
30.006996,-20.128281,26.013769
30.128098,-19.812215,26.014062
30.273399,-19.433482,26.014412
30.432297,-19.018917,26.014796
30.583801,-18.62392,26.015162
30.6642,-18.414198,26.015357
30.782501,-18.105766,26.015642
30.928001,-17.726193,26.015994
31.086098,-17.313778,26.016376
31.240601,-16.910938,26.016749
31.321495,-16.700088,26.016944
31.436699,-16.399578,26.017223
31.582596,-16.018956,26.017575
31.739899,-15.608745,26.017955
31.8974,-15.197931,26.018336
31.9786,-14.986162,26.018532
32.090599,-14.694177,26.018802
32.237198,-14.311877,26.019157
32.394295,-13.902033,26.019536
32.554298,-13.484765,26.019923
32.635696,-13.272577,26.020119
32.745796,-12.985524,26.020385
32.891899,-12.60443,26.020738
33.048698,-12.195478,26.021117
33.211197,-11.771626,26.02151
33.292801,-11.55894,26.021707
33.401299,-11.275926,26.021969
33.546799,-10.896564,26.02232
33.702995,-10.488976,26.022698
33.868301,-10.05812,26.023097
33.949898,-9.845145,26.023294
34.056702,-9.56667,26.023552
34.201698,-9.188645,26.023902
34.357399,-8.782421,26.024279
34.5252,-8.344745,26.024684
34.606995,-8.131403,26.024882
34.712097,-7.857361,26.025135
34.856499,-7.480936,26.025484
35.011795,-7.071304,26.024262
35.182198,-6.612559,26.0195
35.264297,-6.39142,26.017205
35.367599,-6.113323,26.014318
35.511101,-5.726784,26.010306
35.6661,-5.309531,26.005975
35.8386,-4.845098,26.001155
35.921501,-4.621765,25.998837
36.023102,-4.348355,25.995999
36.165794,-3.963873,25.992008
36.320198,-3.5483,25.987694
36.493896,-3.080509,25.982839
36.578697,-2.852138,25.980468
36.678696,-2.583034,25.977675
36.820595,-2.200801,25.973708
36.974197,-1.78734,25.969416
37.1493,-1.315811,25.964522
37.235695,-1.082972,25.962105
37.334198,-0.817849,25.959353
37.475395,-0.437673,25.955407
37.628098,-0.026379,25.951138
37.804497,0.448616,25.946208
37.892494,0.685518,25.943749
37.9897,0.947283,25.941032
38.130798,1.327024,25.93709
38.282196,1.734798,25.932858
38.459702,2.212772,25.927897
38.549095,2.453628,25.925397
38.645401,2.712793,25.922707
38.786095,3.09156,25.918775
38.936195,3.495921,25.914578
39.114899,3.976929,25.909585
39.205597,4.221278,25.907049
39.301201,4.478683,25.904377
39.441399,4.856041,25.900461
39.590401,5.257423,25.896294
39.770096,5.741301,25.891272
39.8619,5.988576,25.888705
39.957001,6.244626,25.886048
40.096695,6.611417,25.875537
40.244499,6.999588,25.864299
40.425201,7.474117,25.850561
40.518295,7.718539,25.843484
40.612801,7.966553,25.836304
40.751999,8.332143,25.82572
40.898598,8.717091,25.814575
